name,address,city,phone,email,website,description,source_url,country,crawl_timestamp
The 15 Most Profitable Business Opportunities in Africa,,,,,,"December 1st, 2025|",https://afrikta.com/the-15-most-profitable-business-opportunities-in-africa/,Zimbabwe,2025-12-03T14:50:17.608967
Top 10 Tour Operators in Egypt,,,,,,"November 17th, 2025|",https://afrikta.com/top-10-tour-operators-in-egypt/,Zimbabwe,2025-12-03T14:50:17.609912
The Rise of Modular Construction: A New Way to Build,,,,,,"November 10th, 2025|",https://afrikta.com/the-rise-of-modular-construction-a-new-way-to-build/,Zimbabwe,2025-12-03T14:50:17.610848
The 15 Most Profitable Business Opportunities in Africa,,,,,,,https://afrikta.com/the-15-most-profitable-business-opportunities-in-africa/,Zimbabwe,2025-12-03T14:50:26.380467
Top 10 Tour Operators in Egypt,,,,,,,https://afrikta.com/top-10-tour-operators-in-egypt/,Zimbabwe,2025-12-03T14:50:26.381624
The Rise of Modular Construction: A New Way to Build,,,,,,,https://afrikta.com/the-rise-of-modular-construction-a-new-way-to-build/,Zimbabwe,2025-12-03T14:50:26.383360
The 5 Best Law Firms in Botswana,,,,,,,https://afrikta.com/5-best-law-firms-in-botswana/,Zimbabwe,2025-12-03T14:50:26.384695
Pros and Cons of Social Media Marketing For Business,,,,,,,https://afrikta.com/pros-cons-social-media-marketing-business/,Zimbabwe,2025-12-03T14:50:26.385944
Top Travel Agencies in Malawi,,,,,,,https://afrikta.com/top-travel-agents-in-malawi/,Zimbabwe,2025-12-03T14:50:26.387134
The 15 Most Profitable Business Opportunities in Africa,,,,,,"December 1st, 2025|",https://afrikta.com/the-15-most-profitable-business-opportunities-in-africa/,Zimbabwe,2025-12-03T14:50:28.267611
Top 10 Tour Operators in Egypt,,,,,,"November 17th, 2025|",https://afrikta.com/top-10-tour-operators-in-egypt/,Zimbabwe,2025-12-03T14:50:28.268491
The Rise of Modular Construction: A New Way to Build,,,,,,"November 10th, 2025|",https://afrikta.com/the-rise-of-modular-construction-a-new-way-to-build/,Zimbabwe,2025-12-03T14:50:28.269375
The 15 Most Profitable Business Opportunities in Africa,,,,,,,https://afrikta.com/the-15-most-profitable-business-opportunities-in-africa/,Zimbabwe,2025-12-03T14:50:31.993246
Top 10 Tour Operators in Egypt,,,,,,,https://afrikta.com/top-10-tour-operators-in-egypt/,Zimbabwe,2025-12-03T14:50:31.994624
The Rise of Modular Construction: A New Way to Build,,,,,,,https://afrikta.com/the-rise-of-modular-construction-a-new-way-to-build/,Zimbabwe,2025-12-03T14:50:31.995423
The 5 Best Law Firms in Botswana,,,,,,,https://afrikta.com/5-best-law-firms-in-botswana/,Zimbabwe,2025-12-03T14:50:31.996219
Pros and Cons of Social Media Marketing For Business,,,,,,,https://afrikta.com/pros-cons-social-media-marketing-business/,Zimbabwe,2025-12-03T14:50:31.997021
Top Travel Agencies in Malawi,,,,,,,https://afrikta.com/top-travel-agents-in-malawi/,Zimbabwe,2025-12-03T14:50:31.997797
About Us,,,+263 4 251 118,,http://www.mandn.co.zw/,"For more than a decade, Mtetwa and Nyambirai Law Firm has been offering cutting-edge legal services to both individuals and corporations. Commercial law, constitutional and human rights law, labor law, estate administration, conveyancing and property law, and general civil and criminal litigation are just a few of the areas where our legal team has shown experience. The firm represents some of Zimbabwe’s major corporations and has a track record of successfully completing high-profile commercial",https://afrikta.com/listing-category/legal/,Zimbabwe,2025-12-03T14:50:33.707073
5wh Forensic Audit,,,+263 4 251 118,,https://pinterest.com/pin/create/button/?url=https%3A%2F%2Fafrikta.com%2Flisting%2Fmtetwa-and-nyambirai%2F&description=For%20more%20than%20a%20decade%2C%20Mtetwa%20and%20Nyambirai%20Law%20Firm%20has%20been%20offering%20cutting-edge%20legal%20services%20to%20both%20individuals%20and%20corporations.%20Commercial%20law%2C%20constitutional%20and%20human%20rights%20law%2C%20labor%20law%2C%20estate%20administration%2C%20conveyancing%20and%20property%20law%2C%20and%20general%20civil%20and%20criminal%20litigation%20are%20just%20a%20few%20of%20the%20areas%20where%20our%20legal%20team&media=https%3A%2F%2Fafrikta.com%2Fwp-content%2Fuploads%2F2022%2F03%2FMtetwa-Nyambirai-Logo.jpg,"For more than a decade, Mtetwa and Nyambirai Law Firm has been offering cutting-edge legal services to both individuals and corporations. Commercial law, constitutional and human rights law, labor law, estate administration, conveyancing and property law, and general civil and criminal litigation are just a few of the areas where our legal team has shown experience. The firm represents some of Zimbabwe’s major corporations and has a track record of successfully completing high-profile commercial",https://afrikta.com/listing-category/legal/,Zimbabwe,2025-12-03T14:50:33.757982
About Us,,,+263 71 382 9260,,https://www.facebook.com/oathletmedia/,"Oathlet Media is a digital marketing agency in Zimbabwe that helps companies to attain maximum internet exposure and presence to clients. We achieve this through unique strategies, ideas, planning and management for social media & online marketing, website design & development as well as graphic designing.",https://afrikta.com/listing-category/digital-marketing/,Zimbabwe,2025-12-03T14:50:38.593888
5wh Forensic Audit,,,+263 71 382 9260,,https://pinterest.com/pin/create/button/?url=https%3A%2F%2Fafrikta.com%2Flisting%2Foathlet-media%2F&description=Oathlet%20Media%20is%20a%20digital%20marketing%20agency%20in%20Zimbabwe%20that%20helps%20companies%20to%20attain%20maximum%20internet%20exposure%20and%20presence%20to%20clients.%20We%20achieve%20this%20through%20unique%20strategies%2C%20ideas%2C%20planning%20and%20management%20for%20social%20media%20%26amp%3B%20online%20marketing%2C%20website%20design%20%26amp%3B%20development%20as%20well%20as%20graphic%20designing.&media=https%3A%2F%2Fafrikta.com%2Fwp-content%2Fuploads%2F2023%2F06%2FOathlet-Media.jpg,"Oathlet Media is a digital marketing agency in Zimbabwe that helps companies to attain maximum internet exposure and presence to clients. We achieve this through unique strategies, ideas, planning and management for social media & online marketing, website design & development as well as graphic designing.",https://afrikta.com/listing-category/digital-marketing/,Zimbabwe,2025-12-03T14:50:38.642814
Zimbabwe Albino Association,"149 Samora Machel Ave Lyric Heights suite 34, Harare. Zimbambwe Harare. Zimbambwe",Harare,+263 733 414 276,zimalbino.assos@gmail.com,https://afrikta.com/listing/zimbabwe-albino-association/,The Zimbabwe Albino Association is non-profit making organization formed to remove from society the traditional based stigma and its related consequences on persons with albinism in all spheres of human activity. ZIMAS ‘s [...],https://afrikta.com/listing/zimbabwe-albino-association/,Zimbabwe,2025-12-03T14:50:41.724875
About Us,,,+263 733 414 276,,http://www.zimalbino.co.zw/,The Zimbabwe Albino Association is non-profit making organization formed to remove from society the traditional based stigma and its related consequences on persons with albinism in all spheres of human activity. ZIMAS ‘s mandate is to identify the specific needs of persons with albinism and find way and means of raising adequate resources to either provide for some of these needs or to assist persons with albinism get access to facilities that will enable them to meet their own needs. Our goal,https://afrikta.com/listing-category/community/,Zimbabwe,2025-12-03T14:50:41.754965
5wh Forensic Audit,,,+263 733 414 276,,https://pinterest.com/pin/create/button/?url=https%3A%2F%2Fafrikta.com%2Flisting%2Fzimbabwe-albino-association%2F&description=The%20Zimbabwe%20Albino%20Association%20is%20non-profit%20making%20organization%20formed%20to%20remove%20from%20society%20the%20traditional%20based%20stigma%20and%20its%20related%20consequences%20on%20persons%20with%20albinism%20in%20all%20spheres%20of%20human%20activity.%20ZIMAS%20%E2%80%98s%20mandate%20is%20to%20identify%20the%20specific%20needs%20of%20persons%20with%20albinism%20and%20find%20way%20and%20means%20of%20raising%20adequate%20resources&media=https%3A%2F%2Fafrikta.com%2Fwp-content%2Fuploads%2F2022%2F04%2FZimbabwe-Albino-Association-Harare.jpg,The Zimbabwe Albino Association is non-profit making organization formed to remove from society the traditional based stigma and its related consequences on persons with albinism in all spheres of human activity. ZIMAS ‘s mandate is to identify the specific needs of persons with albinism and find way and means of raising adequate resources to either provide for some of these needs or to assist persons with albinism get access to facilities that will enable them to meet their own needs. Our goal,https://afrikta.com/listing-category/community/,Zimbabwe,2025-12-03T14:50:41.813356
Pinnacle Shipping Company,"Suite 29 Arundel Village, 51 Quorn Avenue, Mount Pleasant, Harare, Zimbabwe 51 Quorn Avenue",Harare,+263 773 056 361,sales@pinnacleshipping.co.zw,https://afrikta.com/listing/pinnacle-shipping-company/,Pinnacle Shipping Company is a Zimbabwean based freight forwarding company that has long been providing quality logistics services ever since its incorporation. As a customs brokerage and freight forwarding business we have always [...],https://afrikta.com/listing/pinnacle-shipping-company/,Zimbabwe,2025-12-03T14:50:45.559160
About Us,,,+263 773 056 361,,http://pinnacleshipping.co.zw/,Pinnacle Shipping Company is a Zimbabwean based freight forwarding company that has long been providing quality logistics services ever since its incorporation. As a customs brokerage and freight forwarding business we have always remained true to our roots while at the same time evolving according to industry trends and client commitments. Our company is among the shipping companies in Zimbabwe that has been a member of the Shipping and Forwarding Agents Association of Zimbabwe (SFAAZ) and the,https://afrikta.com/listing-category/logistics-transportations/,Zimbabwe,2025-12-03T14:50:45.583641
